CRN	one	r0	r1	r2	r3	score	hasAM	unique
3303	0.16572338173142964	0.01656471	80.87222662	0.04308497	0.88372903	0.9762819019956706	False	False
3946	0.1657205352219792	0.90949262	0.01194013	64.17778608	0.03482792	0.9761477835824284	False	False
2903	0.4519397283661148	0.81965488	0.01480961	0.01216786	92.01167435	0.9760649725985424	False	True
3984	0.3804188971626289	1.02251393	0.01055595	0.0114244	94.25894403	0.9756854933084622	False	True
2701	0.7636249047026518	0.24301021	0.9744046999999999	0.02452851	98.30456326	0.9752287574104036	False	False
5268	0.3782831400081324	77.00325361	0.01331698	64.30101363	0.49005656	0.9750989965853976	False	False
4367	0.5463673442256004	0.01324101	79.68540093	0.57287579	0.93803166	0.97484508831752	False	False
4218	0.16572338173142964	1.4954293	0.02172704	93.32291524	0.02022068	0.974766500606962	False	False
4973	0.6715386063086559	10.65038343	0.68222226	0.01021813	81.81819062	0.9747146743844692	False	True
2629	0.4519397283661148	0.01535726	0.01294943	91.03996292	1.52216983	0.974532934988374	False	False
4058	0.4519397283661148	1.19202676	0.01346576	0.01064169	70.85286058	0.9742005019114424	False	False
5109	0.6715386063807908	0.01212047	13.26739381	90.81370464	0.72959329	0.9738422632040452	False	False
3055	0.7636249047747865	0.01182055	22.46902682	47.40004681	0.89457961	0.973679537879376	False	False
3470	0.7638145200595141	0.01108811	0.01001018	91.25161535	0.97475625	0.9735175178883124	False	True
4191	0.7638145200595141	0.72620584	0.01289546	0.01321613	87.9742213	0.9732376259614014	False	False
4540	0.6199214308321616	0.01031358	0.01808563	92.85781423	0.92190479	0.9731624395486717	False	True
3339	0.3804188973068984	0.01215802	0.01540642	91.52591166	1.03480011	0.97218736986801	False	False
4183	0.3804188973068984	0.01734765	0.01037471	86.15570791	1.24710517	0.9721674753198006	False	False
3417	0.3804188971626289	0.90986537	0.01001081	0.01417954	79.42284278	0.9719689294642307	False	False
5108	0.4309094754720264	0.01041633	97.25042497	98.73998565	0.22800899	0.9718478783334562	False	True
3376	0.6469394214916221	2.15447919	0.02125657	93.75388544	0.03613855	0.971699457835061	False	False
3839	0.7638145200595141	0.0129482	0.0106631	78.01446145	0.89179796	0.9714460395064196	False	False
4832	0.6199214309042964	1.0523808000000001	0.0105858	76.17142911	6.41631941	0.9710549577742816	False	False
2575	0.4519397283661148	0.02312289	0.01567403	88.08819826	1.72887917	0.9701948399425702	False	False
5251	0.6199214308321616	0.01220909	0.54725987	96.55992607	1.98805867	0.9699778814030022	False	False
4422	0.6199214309042964	1.93879026	0.01186183	92.37842238	3.64107596	0.9697531297854972	False	False
4869	0.4309094754720264	96.990216	0.35466335	0.01374855	54.37874766	0.9695469004246786	False	False
4974	0.4309094754720264	70.98728686	0.32232874	0.0115154	68.21027271	0.9684746945197223	False	False
4960	0.4309094754720264	0.01312278	87.76304300000001	87.47240373	0.48532792	0.9684697668505408	False	False
3129	0.4342245121834846	0.01014875	0.83413652	0.01113263	35.98208642	0.9683617835071772	False	False
6264	0.3787143072383858	89.50404799	0.4782397	0.01032758	93.58785259	0.9647120942046016	False	True
5250	0.8817071220087662	1.35362803	0.79727422	97.09304474	9.44946469	0.9632968549487664	True	False
6256	0.3787143075269248	0.01234553	95.48361526	0.40690544	75.01846594	0.962930016119826	False	False
6472	0.8676008565225511	0.19540037	0.26308216	41.1071324	82.07182693	0.9621054914502768	False	True
2885	0.5554275079630144	4.25239223	0.13784639	0.01167078	89.19564393	0.9620944954450794	False	True
6470	0.8676008565225511	0.09846872	0.08922228	47.49931745	59.92764201	0.961551535723746	False	False
2586	0.5554275079630144	4.4879668	0.17629899	0.01305373	83.23246496	0.9614941501480476	False	False
6265	0.3787143072383858	91.85172419	0.30834932	0.01301106	86.43677694	0.9608943725515146	False	False
2576	0.2521741851547261	0.01147905	0.01002941	97.9101519	1.5239388999999999	0.9608530063008768	False	True
4184	0.25217065307659225	0.01093555	0.0109546	95.60275116	2.08800327	0.9598753862239218	False	True
2842	0.252174366717897	0.01016381	1.56414644	0.0120223	91.6541093	0.9595443225531229	False	True
2526	0.5554275078187448	0.26708529	0.01544697	95.63531031	7.671131900000001	0.9595358325092116	False	False
3524	0.252174366717897	0.01229745	99.86950528	0.01132128	2.44352716	0.9594684074351282	False	False
3486	0.2521737553758734	0.01101559	1.71256339	0.01148921	93.48253840000001	0.9591659689979832	False	True
3927	0.5554275078187448	0.09926016	0.01016647	76.00073445	2.84536423	0.9590535816116028	False	False
6469	0.8676008562340122	1.3203733999999998	14.38296361	29.60403024	1.03189318	0.9587736234649894	False	False
3352	0.25217065307659225	0.01904637	0.01079428	96.60996948	2.06462166	0.958515499570068	False	False
2463	0.25217065307659225	0.01099425	1.51864905	0.01351096	87.2516108	0.9566773191868329	False	False
3372	0.252174366717897	0.01190168	2.03626165	0.01969973	93.62298297	0.9563335939915468	False	False
4127	0.2521741850825913	2.59073459	0.01247878	0.01926291	98.5725688	0.9562838338526218	False	False
6254	0.3787143075269248	0.01288472	95.73107173	0.61140223	54.73207301	0.9560334742538714	False	False
3342	0.2521737553758734	0.01446275	0.0112381	84.2100261	2.47673802	0.9552315351194571	False	False
3688	0.252174366717897	0.01440477	86.08500873	0.01165596	2.55765764	0.954997770481088	False	False
