CRN	one	r0	r1	r2	r3	r4	score
494	0.2977323333166936	0.03313167	18.92174129	0.04567479	39.46883126	0.13324277	0.4609412357299039
753	0.2634197822207101	17.52250734	0.08265749	0.01749045	38.37259217	0.01090755	0.46093287632202845
848	0.16321663735053732	60.58005756	2.60914129	0.0239765	10.60896984	0.02045787	0.46093075375694953
212	0.2608887413404994	31.93125477	0.04378284	0.01965472	0.0556295	68.50137623	0.46092987645409517
606	0.20010278197763623	33.16505001	0.01415144	0.06579096	72.22890419	0.01777112	0.46092920228270257
132	0.31962833625179804	0.01063511	14.49447301	0.02132434	0.04325789	29.11481258	0.46092490766810484
318	0.046893824228992784	0.01966183	0.01078317	42.59922421	0.02051018	89.38678078	0.46091898605417475
812	0.22960376773289973	0.04517431	28.96780865	0.01176334	57.53603597	0.15866879	0.46089796122653537
673	0.13700070210671145	0.09107216	0.0261686	33.30963657	70.14924581	0.04707247	0.4608954750301714
41	0.09383157159704443	0.02384412	37.8749143	0.01465728	0.01084687	74.00223898	0.46086672118025473
167	0.1338328515237715	0.03055706	45.83037397	0.12890881	0.01908883	99.61120834	0.460859885691151
704	0.3707197513844278	8.39019088	0.04840775	16.37896115	0.03936249	0.01583169	0.4608579050872641
325	0.25323442390431794	0.22070359	50.67206458	0.01078401	99.87484977	0.17544455	0.4608458685382685
437	0.2892897747748372	0.01263616	23.66169332	0.01057967	52.79193198	0.02820158	0.46084102678157646
61	0.13554695775304332	0.02702439	43.64988171	0.03786439	86.1140072	0.21040314	0.460821366094233
800	0.19179118112059176	26.26753946	0.0190603	55.13809362	0.06587859	0.47195015	0.46082009226664666
458	0.2638065055711296	9.8644034	0.04451179	19.88471504	0.07810132	0.01618496	0.4608088781259591
439	0.2624684386698825	0.11069956	43.90605898	0.30190539	87.30908987	0.39004389	0.4607960910870032
571	0.1861872186304579	0.01127805	0.01310466	21.83085219	0.05055713	45.22452677	0.4607950394344531
195	0.2317292425834356	0.04546298	0.0159476	0.02122558	39.67410405	76.08462916	0.46079042483009536
575	0.2776366327343908	0.04717773	0.05806463	38.52071578	0.01359469	80.80281551	0.46077467442339065
192	0.14632149324775146	0.01613028	0.01513452	0.0205524	29.31907464	59.35049084	0.4607723794562544
1091	0.32353528022553296	0.07147814	45.96683257	0.19455652	95.04715426	0.4565069	0.46076029861652096
493	0.3009846575895541	0.0268124	4.81491469	0.01079661	9.5743627	0.01412086	0.4607576838760289
757	0.15802101901578372	0.06520302	0.01710281	31.85825256	63.71075458	0.03533362	0.46075104300648617
751	0.29470377594983793	24.95932366	0.07416582	0.05231548	54.64429409	0.0132284	0.46074813352339716
354	0.346533152101925	42.95442347	0.0650954	94.80648925	0.18336973	0.04111417	0.46073734382359066
534	0.34741292845693716	43.98126097	0.04369123	0.02289255	98.70891378	0.05251155	0.46073150487608644
740	0.11096658034137105	0.0497258	0.01167035	34.437684	70.15970465	0.98001716	0.46072447296405283
130	0.13863930756000414	0.01553366	22.63758249	0.01680756	0.02407461	50.39299975	0.4606904261545702
162	0.21524620489615767	0.02417885	43.61151104	91.72816625	0.17314329	0.43004337	0.4606798687286652
479	0.06826166393950733	0.01472019	32.04902733	0.03321429	0.0721384	65.47728358	0.4606682016538695
831	0.33140190192281105	17.25224608	0.01754759	35.26432356	0.27193722	0.01142202	0.4606610042647148
587	0.23968862098780733	0.02323174	0.04017425	29.09126626	62.35941644	0.06898035	0.4606445105093903
123	0.0999213669080346	0.01149	20.87568052	0.01431117	0.02376859	45.59471527	0.46063532537500823
897	0.09540896364402174	0.03464132	0.01465725	47.72682266	0.07390482	97.53121164	0.460626841390416
236	0.19311314213507613	0.08189855	41.97632022	0.01576158	84.07905928	0.03299018	0.4606129748548958
1353	0.10423909975603132	95.90132399	0.01658549	3.11078491	0.04485592	17.98430461	0.46059255624771256
786	0.2250611705207804	19.65996773	0.01716102	0.14147492	38.7844655	0.01143465	0.4605823042403478
168	0.17041597926514881	0.01719571	20.57209889	0.05223263	0.01870037	39.65621542	0.4605748396640715
