crn	r0	r1	r2
1838	0323	0203	0013
1839	0323	0201	0013
184	0311	0111	0012
1840	0212	0102	0100
1841	1213	0123	0022
1842	0211	0122	0113
1843	1303	0003	0002
1844	1211	1200	0112
1845	1211	1203	0112
1846	0213	0122	0113
1847	1200	0122	0112
1848	1203	0122	0112
1849	0223	0312	0033
185	0311	0111	0023
1850	0211	0133	0122
1851	1213	1200	0112
1852	1233	1200	0112
1853	1233	1203	0112
1854	1203	1102	0112
1855	0233	0212	0102
1856	1213	0323	0123
1857	1200	0112	0111
1858	1203	0112	0111
1859	0311	0133	0123
186	0311	0111	0002
1860	0311	0133	0112
1861	0323	0203	0033
1862	0323	0201	0033
1863	1213	0123	0002
1864	1202	0113	0023
1865	0302	0013	0002
1866	0300	0013	0002
1867	0102	0200	0011
1868	1312	0100	0003
1869	1312	0103	0001
187	0213	0111	0002
1870	1113	1102	0011
1871	1133	1102	0011
1872	1312	1103	0111
1873	1202	0113	0012
1874	1203	0113	0112
1875	1213	1203	0112
1876	1113	0333	0312
1877	0312	0300	0033
1878	0312	0100	0013
1879	1113	1112	0212
188	2313	0111	0002
1880	3311	3302	0113
1881	1311	3302	0113
1882	2312	0113	0302
1883	1223	0113	0302
1884	1333	0113	0302
1885	2312	0113	0102
1886	1133	0313	0123
1887	0302	0100	0033
1888	1312	1303	0033
1889	0323	0133	0201
189	2333	0111	0002
1890	0323	0133	0203
1891	1200	0123	0112
1892	2311	1323	0023
1893	3311	1323	0033
1894	0212	0103	0102
1895	3311	3302	0033
1896	1311	3302	0033
1897	3313	3302	0033
1898	1213	0123	0023
1899	1113	1112	0313
19	0212	0133	0012
190	0333	0111	0002
1900	1113	0323	0313
1901	3313	3302	0113
1902	1311	1302	0113
1903	0212	0133	0102
1904	0312	0133	0011
1905	1123	1203	0112
1906	1123	1200	0112
1907	1102	1200	0112
1908	1113	0312	0111
1909	2301	0012	0003
191	1333	0111	0002
1910	1303	0012	0003
1911	0233	0302	0002
1912	0213	0302	0002
1913	1213	0123	0001
1914	1311	1302	0013
1915	0212	0113	0102
1916	0323	0233	0102
1917	0323	0213	0102
1918	0322	0113	0201
1919	0322	0113	0203
192	1333	0002	0001
1920	0122	0111	0201
1921	1233	1312	0023
1922	2311	1301	0023
1923	1311	1302	0033
1924	1333	1302	0013
1925	1302	1103	0111
1926	1312	1133	0111
1927	0302	0200	0033
1928	1113	1102	0001
1929	1133	1102	0001
193	1303	0002	0001
1930	0302	0033	0002
1931	1302	0011	0003
1932	1202	0113	0002
1933	0322	0113	0200
1934	0122	0111	0200
1935	0122	0113	0201
1936	1133	1123	0212
1937	1133	1123	0313
1938	1133	0323	0313
1939	1133	1112	0212
194	1300	0002	0001
1940	0323	0300	0033
1941	0102	0200	0013
1942	1133	1112	0313
1943	0133	0302	0011
1944	0133	0302	0013
1945	0133	0301	0012
1946	0133	0301	0023
1947	1211	0103	0023
1948	0122	0111	0203
1949	1133	0312	0111
195	2303	0002	0001
1950	0323	0300	0013
1951	0302	0300	0033
1952	0302	0100	0013
1953	1122	1200	0112
1954	1122	1203	0112
1955	3313	0302	0033
1956	1311	0302	0033
1957	0133	0302	0001
1958	1103	0023	0013
1959	1213	0103	0023
196	2300	0002	0001
1960	1311	0133	0012
1961	1323	1203	0112
1962	3323	0113	0301
1963	3312	0113	0301
1964	1312	0100	0033
1965	1312	0103	0011
1966	1312	0103	0033
1967	1312	0133	0111
1968	3302	0311	0113
1969	3302	0313	0113
197	2333	0002	0001
1970	1123	1113	0313
1971	1123	1113	0212
1972	3301	0123	0111
1973	3313	0123	0113
1974	0133	0200	0023
1975	1200	0113	0112
1976	1100	0113	0302
1977	1101	0312	0113
1978	3300	0013	0012
1979	1303	0033	0012
198	2333	0012	0001
1980	1112	0103	0013
1981	1133	0333	0312
1982	1133	0313	0112
1983	1133	0313	0012
1984	3302	0113	0011
1985	1102	0103	0001
1986	3302	0113	0001
1987	0322	0233	0002
1988	0322	0213	0002
1989	3311	0123	0113
199	0333	0012	0003
1990	3311	0113	0302
1991	1311	0113	0302
1992	0311	0113	0102
1993	1311	1133	0112
1994	1311	1103	0112
1995	1312	1303	0003
1996	1323	0301	0003
1997	3301	0013	0002
1998	1113	0313	0012
1999	1311	1302	0003
2	0023	0022	0013
20	0223	0133	0012
200	0333	0012	0001
2000	0300	0033	0002
2001	0311	0103	0023
2002	1303	0033	0002
2003	1311	0133	0023
2004	0102	0100	0013
2005	0102	0100	0011
2006	1312	0111	0103
2007	3312	0111	0103
2008	0313	0133	0102
2009	1113	0313	0112
201	2313	0012	0001
2010	1113	0313	0123
2011	0312	0311	0133
2012	0323	0311	0133
2013	3302	0313	0103
2014	1100	0312	0113
2015	0313	0312	0133
2016	0313	0312	0103
2017	0311	0133	0002
2018	0313	0103	0102
2019	1323	0311	0003
202	2311	0012	0001
2020	1113	0313	0302
2021	1113	0313	0002
2022	1113	0113	0302
2023	1101	0113	0302
2024	1133	0313	0002
2025	0313	0113	0102
2026	3313	0113	0302
2027	1133	0113	0302
2028	1103	0113	0012
2029	0133	0111	0302
203	0311	0012	0003
2030	1303	0113	0023
2031	1302	0111	0003
2032	2302	0323	0133
2033	0233	0312	0133
2034	2311	1323	0013
2035	1223	1201	0023
2036	1113	1102	0212
2037	3302	0003	0001
2038	0223	0302	0013
2039	2312	2301	0023
204	0311	0023	0003
2040	1200	0003	0002
2041	1203	0003	0002
2042	1200	0033	0002
2043	2312	0133	0023
2044	2312	0123	0113
2045	0312	0212	0133
2046	2301	0023	0012
2047	2301	0023	0002
2048	1203	1300	0112
2049	1233	1300	0112
205	0301	0023	0003
2050	1312	1301	0013
2051	2312	0133	0012
