crn	r0	r1	r2
10415	3303	0123	0111	0012
10416	1300	0123	0111	0012
10417	1303	0123	0111	0012
10418	1300	0112	0111	0012
10419	1303	0112	0111	0012
1042	0111	0033	0002	0001
10420	3300	0112	0111	0012
10421	3303	0112	0111	0012
10422	3301	0112	0111	0012
10423	1301	0112	0111	0012
10424	2300	0112	0111	0002
10425	3303	0112	0111	0023
10426	3301	0112	0111	0023
10427	3300	0312	0111	0012
10428	3303	0312	0111	0012
10429	3300	0323	0111	0012
1043	0133	0023	0002	0001
10430	3303	0323	0111	0012
10431	3301	0323	0111	0012
10432	3301	0123	0111	0012
10433	1301	0123	0111	0012
10434	3313	0123	0111	0012
10435	3311	0123	0111	0012
10436	3301	0312	0111	0012
10437	3311	0323	0111	0012
10438	3313	0323	0111	0012
10439	3311	1323	0111	0012
1044	0133	0012	0002	0001
10440	3313	1323	0111	0012
10441	3311	1312	0111	0012
10442	3313	1312	0111	0012
10443	1333	1312	0111	0012
10444	3300	0123	0111	0002
10445	3303	0123	0111	0002
10446	1300	0123	0111	0002
10447	1303	0123	0111	0002
10448	3301	0123	0111	0002
10449	1301	0123	0111	0002
1045	0133	0023	0022	0001
10450	2303	0123	0111	0002
10451	2301	0123	0111	0002
10452	0122	0112	0111	0302
10453	0122	0112	0111	0002
10454	0123	0112	0111	0002
10455	0123	0112	0111	0302
10456	0322	0112	0111	0302
10457	0323	0123	0113	0002
10458	3302	0112	0111	0200
10459	2312	0222	0112	0111
1046	0133	0023	0022	0003
10460	2303	0222	0112	0111
10461	0111	0201	0102	0002
10462	0113	0302	0203	0002
10463	3322	0022	0002	0001
10464	2302	0022	0002	0001
10465	3312	0022	0002	0001
10466	3301	0022	0012	0011
10467	3323	0022	0002	0001
10468	1233	1202	0122	0112
10469	1233	1223	0122	0112
1047	0133	0023	0012	0011
10470	1211	1202	0122	0112
10471	1213	1202	0122	0112
10472	1233	1202	0322	0112
10473	1211	1202	0322	0112
10474	1213	1202	0322	0112
10475	1233	1202	0312	0112
10476	1211	1202	0323	0112
10477	1213	1202	0323	0112
10478	1211	1202	0312	0112
10479	1213	1202	0312	0112
1048	0133	0023	0012	0001
10480	1233	1202	0112	0302
10481	1200	0133	0112	0103
10482	1200	0133	0112	0100
10483	1203	0133	0112	0103
10484	1203	0133	0112	0100
10485	1200	0113	0112	0103
10486	1200	0113	0112	0100
10487	1203	0113	0112	0103
10488	1203	0113	0112	0100
10489	1233	1133	0112	0100
1049	0133	0023	0012	0003
10490	1200	0323	0112	0100
10491	1200	0123	0112	0103
10492	1203	0123	0112	0103
10493	1200	0123	0111	0103
10494	0133	0123	0111	0201
10495	1322	0203	0012	0001
10496	0133	0200	0012	0003
10497	0301	0033	0012	0003
10498	0300	0033	0012	0001
10499	0301	0033	0012	0001
105	0023	0011	0002	0001
1050	0133	0023	0013	0001
10500	0301	0013	0012	0001
10501	0103	0013	0012	0003
10502	0103	0033	0012	0003
10503	0333	0013	0012	0003
10504	0103	0013	0012	0001
10505	0103	0033	0012	0001
10506	0203	0033	0012	0001
10507	0201	0033	0012	0001
10508	0201	0033	0012	0003
10509	0203	0033	0012	0003
1051	0133	0023	0013	0003
10510	1300	0233	0012	0001
10511	3300	0233	0012	0001
10512	3303	0233	0012	0001
10513	3301	0233	0012	0001
10514	1303	0233	0012	0001
10515	1301	0233	0012	0001
10516	3300	0033	0012	0001
10517	3303	0033	0012	0001
10518	3301	0033	0012	0001
10519	3311	0033	0012	0001
1052	0133	0023	0011	0003
10520	3313	0033	0012	0001
10521	3300	0013	0012	0001
10522	1300	0013	0012	0001
10523	3303	0013	0012	0001
10524	3301	0013	0012	0001
10525	1301	0013	0012	0001
10526	3311	0013	0012	0001
10527	3313	0013	0012	0001
10528	3301	0213	0012	0001
10529	3303	0213	0012	0001
1053	0133	0012	0011	0003
10530	1301	0213	0012	0001
10531	1303	0213	0012	0001
10532	3301	0212	0012	0001
10533	3303	0212	0012	0001
10534	1301	0212	0012	0001
10535	1303	0212	0012	0001
10536	1300	0213	0012	0001
10537	3300	0213	0012	0001
10538	1300	0212	0012	0001
10539	3300	0212	0012	0001
1054	0133	0012	0011	0001
10540	1300	0313	0012	0001
10541	1303	0313	0012	0001
10542	1301	0313	0012	0001
10543	3300	0313	0012	0001
10544	3303	0313	0012	0001
10545	3301	0313	0012	0001
10546	1300	0312	0012	0001
10547	3300	0312	0012	0001
10548	1301	0312	0012	0001
10549	3301	0312	0012	0001
1055	0133	0023	0011	0001
10550	1303	0312	0012	0001
10551	3303	0312	0012	0001
10552	3300	0113	0012	0001
10553	3303	0113	0012	0001
10554	3301	0113	0012	0001
10555	3311	0113	0012	0001
10556	3313	0113	0012	0001
10557	3300	0111	0012	0001
10558	3300	0111	0012	0002
10559	1311	0111	0012	0001
1056	0133	0023	0013	0012
10560	1300	0111	0012	0002
10561	1303	0111	0012	0002
10562	3300	0111	0012	0003
10563	3303	0111	0012	0003
10564	3301	0111	0012	0003
10565	1311	0133	0012	0001
10566	3311	0133	0012	0001
10567	3313	0133	0012	0001
10568	1333	0113	0012	0001
10569	1311	0113	0012	0001
1057	1302	0023	0012	0011
10570	3300	0311	0012	0001
10571	3303	0311	0012	0001
10572	3301	0311	0012	0001
10573	1300	0311	0012	0001
10574	1303	0311	0012	0001
10575	1300	0333	0012	0001
10576	1303	0333	0012	0001
10577	3300	0333	0012	0001
10578	3303	0333	0012	0001
10579	3301	0333	0012	0001
1058	0302	0023	0012	0011
10580	3300	0323	0012	0001
10581	3300	0322	0012	0001
10582	3303	0323	0012	0001
10583	3303	0322	0012	0001
10584	3301	0322	0012	0001
10585	3301	0323	0012	0001
10586	1300	0323	0012	0001
10587	1300	0322	0012	0001
10588	1303	0323	0012	0001
10589	1303	0322	0012	0001
1059	0322	0023	0012	0011
10590	1301	0322	0012	0001
10591	1301	0311	0012	0001
10592	1301	0333	0012	0001
