crn	r0	r1	r2
15	0111	0203	0200	0100
150	3312	2201	0111	0100
1500	2302	0313	0111	0100
1501	2322	0313	0111	0100
1502	2203	0123	0111	0100
1503	2203	0323	0111	0100
1504	2303	0123	0111	0100
1505	2200	0123	0111	0100
1506	2300	0123	0111	0100
1507	2300	0323	0111	0100
1508	3300	0323	0111	0100
1509	2200	0323	0111	0100
151	3312	2311	0111	0100
1510	2202	0123	0111	0100
1511	2202	0323	0111	0100
1512	2322	0323	0111	0100
1513	3322	0323	0111	0100
1514	2302	0323	0111	0100
1515	3302	0323	0111	0100
1516	2302	0123	0111	0100
1517	3323	1333	0111	0100
1518	2322	1333	0111	0100
1519	3322	1333	0111	0100
152	3312	2301	0111	0100
1520	2213	0113	0111	0100
1521	2313	0113	0111	0100
1522	2201	0113	0111	0100
1523	2301	0113	0111	0100
1524	3301	0113	0111	0100
1525	2301	0313	0111	0100
1526	2201	0313	0111	0100
1527	2211	0313	0111	0100
1528	2312	0313	0111	0100
1529	3312	0313	0111	0100
153	3323	1213	0111	0100
1530	2201	0123	0111	0100
1531	2312	0123	0111	0100
1532	2201	0133	0111	0100
1533	2301	0133	0111	0100
1534	3301	0133	0111	0100
1535	2312	0133	0111	0100
1536	2213	0123	0111	0100
1537	2213	0313	0111	0100
1538	2213	0133	0111	0100
1539	2313	0313	0111	0100
154	3323	1203	0111	0100
1540	3313	0313	0111	0100
1541	2313	0133	0111	0100
1542	2313	0123	0111	0100
1543	2202	1302	0111	0100
1544	3302	1302	0111	0100
1545	2312	3302	0111	0100
1546	3312	3302	0111	0100
1547	3322	3302	0111	0100
1548	2212	3302	0111	0100
1549	2211	3303	0111	0100
155	3323	1233	0111	0100
1550	2212	3303	0111	0100
1551	2212	3300	0111	0100
1552	2322	3302	0111	0100
1553	2322	3303	0111	0100
1554	3322	3303	0111	0100
1555	2311	3303	0111	0100
1556	2312	3303	0111	0100
1557	3312	3303	0111	0100
1558	3311	3303	0111	0100
1559	2312	3300	0111	0100
156	3312	1203	0111	0100
1560	2322	3300	0111	0100
1561	3322	3300	0111	0100
1562	2212	1302	0111	0100
1563	2312	1302	0111	0100
1564	3312	1302	0111	0100
1565	3322	1302	0111	0100
1566	2212	1303	0111	0100
1567	2312	1303	0111	0100
1568	2322	1303	0111	0100
1569	3322	1303	0111	0100
157	3312	1233	0111	0100
1570	3312	1303	0111	0100
1571	2212	1300	0111	0100
1572	2312	1300	0111	0100
1573	2322	1300	0111	0100
1574	3322	1300	0111	0100
1575	2212	3301	0111	0100
1576	2312	3301	0111	0100
1577	2312	1301	0111	0100
1578	2212	1301	0111	0100
1579	1203	0212	0111	0100
158	3312	2203	0111	0100
1580	1303	0212	0111	0100
1581	1203	0213	0111	0100
